0_1,1_324
0_2,3_106
0_3,3_32
0_4,1_337
0_5,3_42
0_6,1_343
0_7,3_1
0_8,1_351
0_9,3_24
0_10,2_51
0_11,3_69
0_12,1_13
0_13,1_50
0_14,1_89
0_15,3_121
0_16,4_117
0_17,4_270
0_18,5_28
0_19,5_93
0_20,12_161
0_21,6_37
0_22,6_83
0_23,7_81
0_24,8_10
0_25,7_86
0_26,7_36
0_27,10_121
0_28,7_16
0_29,7_228
0_30,6_76
0_31,1_221
0_32,6_30
0_33,4_274
0_34,1_15
0_35,4_116
0_36,2_74
0_37,2_85
0_38,4_91
0_39,4_271
0_40,4_41
0_41,1_90
0_42,2_50
0_43,2_84
0_44,6_31
0_45,4_267
0_46,5_7
0_47,6_50
0_48,8_26
0_49,8_87
0_50,9_16
0_51,9_26
0_52,9_51
0_53,9_52
0_54,9_48
0_55,10_87
0_61,8_84
0_68,9_1
0_69,11_25
0_70,11_33
0_71,11_57
0_72,11_58
0_73,11_68
0_74,11_95
0_75,11_111
0_76,11_139
0_77,11_154
0_78,11_172
0_79,11_15
0_80,12_112
0_81,12_180
0_82,12_184
0_83,11_219
0_84,11_173
0_85,11_108
0_86,11_170
0_87,11_21
0_88,11_146
0_89,12_30
0_90,13_43
0_91,13_111
0_92,12_90
0_93,11_163
0_94,13_153
0_95,12_144
0_96,11_211
0_97,11_222
0_98,12_176
0_99,12_177
0_100,12_73
0_101,12_20
0_102,13_92
0_103,12_179
0_104,12_54
0_105,11_224
0_106,13_128
0_107,13_67
0_108,11_226
0_109,11_219
0_110,11_222
0_111,11_220
0_112,11_221
0_113,13_182
0_114,11_224
0_115,11_225
0_116,11_223
0_117,13_66
0_118,13_124
0_119,13_71
0_120,15_110
0_121,15_158
0_122,15_17
0_123,15_5
0_124,15_18
0_125,15_54
0_126,15_162
0_127,17_93
0_128,17_47
0_129,18_59
4_2,1_2
4_62,1_41
4_129,1_110
4_207,1_158
4_306,1_299
5_123,5_5
5_124,5_11
5_125,5_50
5_126,5_70
5_127,5_89
5_128,5_94
6_123,6_26
6_124,6_35
6_125,6_39
6_126,6_49
6_127,6_68
6_128,6_103
7_1,1_2
7_20,1_37
7_40,4_93
7_41,1_76
7_52,2_29
7_84,1_102
7_207,1_226
7_297,3_94
7_319,1_299
7_322,1_304
11_2,1_2
11_153,4_288
11_166,1_299
11_209,1_211
12_5,2_3
12_11,1_23
12_25,3_29
12_31,1_78
12_43,3_122
12_46,1_103
12_127,1_307
12_128,2_112
12_165,1_214
